Tiempo (s) Serie Nº 1	Pressió absoluta (torr) Serie Nº 1	Temperatura (°C) Serie Nº 1
0,000	735,376	11,78
0,200	735,441	11,80
0,400	735,229	11,83
0,600	735,409	11,84
0,800	735,327	11,86
1,000	735,392	11,89
1,200	735,278	11,91
1,400	735,311	11,92
1,600	735,294	11,93
1,800	735,376	11,94
2,000	735,474	11,96
2,200	735,474	11,98
2,400	735,261	11,99
2,600	735,409	12,00
2,800	735,376	12,00
3,000	735,474	12,01
3,200	701,555	12,00
3,400	668,093	12,00
3,600	636,350	12,01
3,800	609,041	12,01
4,000	583,613	12,02
4,200	559,511	12,04
4,400	535,851	12,04
4,600	514,138	12,04
4,800	493,488	12,04
5,000	472,855	12,04
5,200	453,956	12,05
5,400	435,974	12,05
5,600	418,286	12,05
5,800	401,203	12,06
6,000	385,643	12,06
6,200	370,344	12,06
6,400	355,225	12,06
6,600	341,333	12,06
6,800	327,948	12,06
7,000	315,202	12,07
7,200	302,995	12,06
7,400	290,560	12,05
7,600	279,957	12,05
7,800	269,223	12,05
8,000	258,964	12,05
8,200	248,835	12,05
8,400	239,787	12,04
8,600	230,657	12,04
8,800	221,984	12,04
9,000	213,623	12,04
9,200	205,736	12,04
9,400	198,013	12,04
9,600	190,486	12,04
9,800	183,401	12,05
10,000	176,856	12,05
10,200	170,230	12,07
10,400	164,077	12,10
10,600	157,647	12,12
10,800	152,296	12,14
11,000	146,488	12,16
11,200	141,366	12,17
11,400	136,326	12,19
11,600	131,238	12,22
11,800	126,542	12,24
12,000	121,927	12,26
12,200	117,706	12,26
12,400	113,550	12,26
12,600	109,410	12,26
12,800	105,221	12,26
13,000	101,507	12,26
13,200	98,169	12,26
13,400	94,438	12,27
13,600	90,904	12,27
13,800	87,730	12,27
14,000	84,882	12,28
14,200	81,937	12,28
14,400	78,877	12,29
14,600	76,112	12,30
14,800	73,527	12,31
15,000	71,023	12,31
15,200	68,438	12,31
15,400	66,196	12,31
15,600	63,824	12,31
15,800	61,729	12,30
16,000	59,586	12,31
16,200	57,557	12,30
16,400	55,610	12,30
16,600	53,908	12,29
16,800	52,092	12,30
17,000	50,145	12,31
17,200	48,558	12,30
17,400	46,970	12,31
17,600	45,252	12,31
17,800	44,042	12,30
18,000	42,405	12,31
18,200	41,064	12,31
18,400	39,869	12,32
18,600	38,249	12,32
18,800	37,317	12,31
19,000	35,909	12,31
19,200	35,009	12,31
19,400	33,831	12,29
19,600	32,719	12,29
19,800	31,851	12,29
20,000	30,837	12,29
20,200	29,970	12,29
20,400	29,201	12,28
20,600	28,055	12,28
20,800	27,466	12,27
21,000	26,501	12,26
21,200	26,239	12,25
21,400	25,568	12,25
21,600	25,208	12,24
21,800	24,685	12,24
22,000	24,554	12,23
22,200	24,128	12,23
22,400	23,948	12,22
22,600	23,768	12,24
22,800	23,687	12,24
23,000	23,523	12,25
23,200	23,457	12,26
23,400	23,196	12,26
23,600	23,474	12,25
23,800	23,179	12,25
24,000	22,901	12,24
24,200	22,737	12,23
24,400	22,672	12,23
24,600	22,410	12,22
24,800	22,476	12,19
25,000	22,459	12,18
25,200	22,410	12,15
25,400	22,607	12,14
25,600	22,639	12,12
25,800	22,443	12,09
26,000	22,148	12,08
26,200	22,181	12,07
26,400	22,394	12,06
26,600	22,050	12,04
26,800	21,985	12,04
27,000	21,690	12,03
27,200	21,674	12,02
27,400	21,707	12,01
27,600	21,690	12,00
27,800	21,527	11,99
28,000	21,641	11,98
28,200	21,592	11,97
28,400	21,576	11,95
28,600	21,265	11,94
28,800	21,330	11,93
29,000	21,249	11,91
29,200	21,085	11,88
29,400	21,118	11,84
29,600	21,249	11,80
29,800	21,150	11,77
30,000	21,036	11,74
30,200	20,774	11,71
30,400	20,643	11,68
30,600	20,774	11,64
30,800	20,741	11,60
31,000	20,807	11,56
31,200	20,741	11,52
31,400	20,709	11,49
31,600	20,545	11,47
31,800	20,659	11,47
32,000	20,349	11,48
32,200	20,479	11,47
32,400	20,365	11,46
32,600	20,709	11,44
32,800	20,299	11,44
33,000	20,267	11,44
33,200	20,430	11,44
33,400	20,169	11,43
33,600	20,185	11,42
33,800	20,299	11,41
34,000	20,103	11,41
34,200	20,103	11,40
34,400	19,841	11,37
34,600	19,825	11,32
34,800	19,890	11,28
35,000	19,972	11,23
35,200	19,809	11,19
35,400	19,743	11,15
35,600	19,858	11,11
35,800	19,547	11,09
36,000	19,645	11,06
36,200	19,481	11,05
36,400	19,170	11,04
36,600	19,612	11,03
36,800	19,203	11,02
37,000	19,727	11,01
37,200	18,974	11,00
37,400	19,269	10,99
37,600	19,040	10,98
37,800	19,007	10,96
38,000	19,154	10,93
38,200	19,187	10,90
38,400	19,170	10,87
38,600	18,860	10,86
38,800	18,761	10,83
39,000	18,532	10,81
39,200	18,909	10,80
39,400	18,614	10,78
39,600	18,761	10,77
39,800	18,287	10,75
40,000	18,614	10,73
40,200	18,500	10,71
40,400	18,860	10,71
40,600	18,500	10,71
40,800	18,549	10,71
41,000	18,303	10,70
41,200	18,565	10,67
41,400	18,729	10,66
41,600	18,271	10,63
41,800	18,401	10,61
42,000	18,369	10,59
42,200	18,254	10,58
42,400	18,221	10,56
42,600	17,943	10,54
42,800	17,960	10,53
43,000	17,829	10,53
43,200	17,812	10,51
43,400	18,123	10,50
43,600	18,107	10,49
43,800	18,074	10,47
44,000	17,632	10,46
44,200	17,780	10,44
44,400	17,763	10,41
44,600	17,714	10,38
44,800	17,943	10,34
45,000	17,469	10,32
45,200	17,534	10,30
45,400	17,534	10,27
45,600	17,780	10,24
45,800	17,731	10,22
46,000	17,583	10,21
46,200	17,698	10,22
46,400	17,583	10,23
46,600	17,501	10,25
46,800	17,452	10,28
47,000	17,420	10,31
47,200	17,305	10,31
47,400	17,420	10,31
47,600	17,354	10,31
47,800	17,043	10,31
48,000	17,436	10,30
48,200	17,256	10,27
48,400	17,272	10,24
48,600	17,142	10,20
48,800	17,223	10,17
49,000	17,092	10,13
49,200	17,027	10,10
49,400	17,043	10,07
49,600	16,798	10,04
49,800	16,912	10,01
50,000	17,011	9,98
50,200	17,043	9,96
50,400	16,945	9,94
50,600	16,863	9,93
50,800	16,749	9,90
51,000	16,487	9,88
51,200	16,863	9,86
51,400	16,880	9,83
51,600	16,651	9,82
51,800	16,831	9,82
52,000	16,651	9,82
52,200	16,651	9,83
52,400	16,454	9,83
52,600	16,602	9,83
52,800	16,552	9,83
53,000	16,683	9,81
53,200	16,716	9,79
53,400	16,520	9,78
53,600	15,996	9,75
53,800	16,503	9,73
54,000	15,898	9,71
54,200	16,716	9,69
54,400	16,242	9,67
54,600	16,454	9,64
54,800	16,111	9,62
55,000	16,045	9,60
55,200	16,192	9,58
55,400	16,274	9,57
55,600	16,323	9,56
55,800	16,225	9,54
56,000	15,767	9,53
56,200	16,176	9,53
56,400	15,783	9,52
56,600	15,865	9,53
56,800	15,898	9,54
57,000	15,963	9,53
57,200	15,832	9,51
57,400	15,489	9,50
57,600	15,734	9,48
57,800	15,702	9,45
58,000	15,620	9,43
58,200	15,718	9,41
58,400	15,473	9,40
58,600	15,473	9,40
58,800	15,440	9,40
59,000	15,587	9,38
59,200	15,391	9,36
59,400	15,063	9,35
59,600	15,505	9,33
59,800	15,603	9,31
60,000	15,603	9,29
60,200	15,178	9,27
60,400	15,423	9,25
60,600	15,293	9,22
60,800	15,309	9,20
61,000	15,276	9,19
61,200	15,243	9,17
61,400	15,113	9,15
61,600	15,063	9,13
61,800	15,227	9,12
62,000	15,260	9,11
62,200	15,145	9,10
62,400	15,194	9,09
62,600	15,145	9,09
62,800	15,178	9,08
63,000	14,998	9,07
63,200	15,113	9,05
63,400	15,063	9,03
63,600	15,047	9,02
63,800	14,965	9,01
64,000	14,687	8,99
64,200	14,883	8,98
64,400	15,031	8,96
64,600	14,818	8,95
64,800	15,113	8,94
65,000	14,769	8,93
65,200	14,965	8,90
65,400	14,671	8,88
65,600	14,540	8,86
65,800	14,442	8,83
66,000	14,540	8,82
66,200	14,834	8,79
66,400	14,458	8,78
66,600	14,622	8,75
66,800	14,556	8,74
67,000	14,540	8,72
67,200	14,589	8,71
67,400	14,703	8,71
67,600	14,344	8,71
67,800	14,409	8,70
68,000	14,245	8,68
68,200	14,049	8,67
68,400	14,164	8,66
68,600	14,131	8,66
68,800	14,311	8,65
69,000	14,082	8,65
69,200	14,294	8,64
69,400	14,114	8,65
69,600	14,344	8,65
69,800	14,278	8,67
70,000	13,951	8,69
70,200	14,180	8,69
70,400	13,951	8,68
70,600	14,229	8,67
70,800	13,984	8,67
71,000	14,262	8,66
71,200	13,984	8,66
71,400	14,294	8,66
71,600	13,804	8,65
71,800	14,016	8,64
72,000	14,049	8,61
72,200	13,656	8,59
72,400	13,722	8,57
72,600	14,016	8,56
72,800	13,984	8,54
73,000	14,000	8,52
73,200	13,656	8,48
73,400	13,869	8,45
73,600	13,951	8,42
73,800	13,836	8,40
74,000	13,738	8,39
74,200	14,049	8,38
74,400	13,787	8,36
74,600	13,885	8,34
74,800	13,656	8,33
75,000	13,984	8,31
75,200	13,771	8,30
75,400	13,787	8,28
75,600	13,525	8,27
75,800	13,427	8,26
76,000	13,296	8,24
76,200	13,722	8,24
76,400	13,542	8,24
76,600	13,624	8,25
76,800	13,525	8,27
77,000	13,493	8,29
77,200	13,558	8,31
77,400	13,329	8,32
77,600	13,313	8,33
77,800	13,574	8,33
78,000	13,542	8,33
78,200	13,378	8,33
78,400	13,313	8,32
78,600	13,345	8,30
78,800	13,378	8,29
79,000	13,378	8,27
79,200	13,313	8,25
79,400	13,591	8,22
79,600	13,427	8,19
79,800	13,394	8,17
80,000	13,280	8,15
80,200	13,035	8,14
80,400	13,231	8,12
80,600	13,345	8,10
80,800	12,936	8,09
81,000	12,953	8,07
81,200	13,198	8,06
81,400	12,969	8,06
81,600	12,969	8,05
81,800	12,936	8,03
82,000	13,133	8,03
82,200	13,313	8,02
82,400	13,100	8,02
82,600	13,018	8,04
82,800	13,247	8,06
83,000	13,002	8,05
83,200	13,084	8,04
83,400	12,904	8,02
83,600	12,904	8,00
83,800	12,805	7,99
84,000	13,051	7,97
84,200	12,871	7,96
84,400	12,805	7,95
84,600	12,855	7,93
84,800	12,920	7,91
85,000	12,707	7,90
85,200	13,067	7,89
85,400	12,707	7,90
85,600	12,773	7,90
85,800	12,969	7,91
86,000	12,429	7,89
86,200	12,756	7,88
86,400	12,625	7,86
86,600	12,380	7,83
86,800	12,887	7,81
87,000	12,871	7,80
87,200	12,593	7,77
87,400	12,642	7,77
87,600	12,642	7,76
87,800	12,658	7,75
88,000	12,625	7,74
88,200	12,527	7,73
88,400	12,364	7,72
88,600	12,462	7,72
88,800	12,495	7,71
89,000	12,642	7,72
89,200	12,511	7,72
89,400	12,511	7,74
89,600	12,675	7,77
89,800	12,724	7,79
90,000	12,511	7,80
90,200	12,429	7,79
90,400	12,511	7,77
90,600	12,331	7,74
90,800	12,544	7,72
91,000	12,511	7,68
91,200	12,707	7,65
91,400	12,445	7,63
91,600	12,675	7,61
91,800	12,544	7,60
92,000	12,527	7,59
92,200	12,331	7,58
92,400	12,478	7,59
92,600	12,462	7,58
92,800	12,347	7,59
93,000	12,478	7,60
93,200	12,773	7,63
93,400	12,347	7,64
93,600	12,151	7,65
93,800	12,609	7,65
94,000	12,495	7,65
94,200	12,445	7,66
94,400	12,593	7,68
94,600	12,445	7,69
94,800	12,527	7,70
95,000	12,560	7,70
95,200	12,396	7,70
95,400	12,315	7,68
95,600	12,396	7,67
95,800	12,200	7,65
96,000	12,233	7,64
96,200	12,495	7,64
96,400	12,625	7,63
96,600	12,593	7,64
96,800	12,445	7,63
97,000	12,527	7,62
97,200	12,282	7,60
97,400	12,315	7,58
97,600	12,724	7,55
97,800	12,331	7,53
98,000	12,675	7,52
98,200	12,691	7,50
98,400	12,576	7,49
98,600	12,707	7,50
98,800	12,871	7,50
99,000	12,724	7,51
99,200	12,527	7,51
99,400	12,560	7,52
99,600	12,789	7,52
99,800	12,593	7,50
100,000	12,560	7,48
100,200	12,593	7,46
100,400	12,544	7,44
100,600	12,707	7,41
100,800	12,560	7,40
101,000	12,658	7,38
101,200	13,018	7,37
101,400	13,002	7,36
101,600	13,002	7,36
101,800	12,936	7,35
102,000	12,936	7,35
102,200	12,593	7,34
102,400	13,002	7,34
102,600	12,920	7,33
102,800	12,724	7,31
103,000	12,822	7,31
103,200	12,985	7,29
103,400	13,198	7,29
103,600	12,920	7,28
103,800	13,247	7,27
104,000	13,182	7,27
104,200	13,329	7,28
104,400	13,231	7,27
104,600	13,231	7,27
104,800	13,345	7,26
105,000	13,198	7,26
105,200	13,247	7,27
105,400	13,444	7,28
105,600	13,280	7,27
105,800	13,100	7,28
106,000	13,476	7,29
106,200	13,493	7,29
106,400	13,525	7,29
106,600	13,427	7,30
106,800	13,509	7,29
107,000	13,542	7,28
107,200	13,394	7,27
107,400	13,264	7,26
107,600	13,100	7,24
107,800	13,100	7,22
108,000	13,165	7,21
108,200	13,002	7,19
108,400	13,329	7,18
108,600	13,296	7,17
108,800	13,329	7,15
109,000	13,460	7,13
109,200	13,362	7,12
109,400	13,345	7,11
109,600	13,362	7,10
109,800	13,509	7,08
110,000	13,574	7,08
110,200	13,607	7,07
110,400	13,853	7,07
110,600	13,460	7,07
110,800	13,607	7,07
111,000	13,542	7,07
111,200	13,574	7,07
111,400	13,673	7,07
111,600	13,624	7,08
111,800	13,525	7,08
112,000	13,624	7,09
112,200	13,738	7,09
112,400	13,558	7,09
112,600	13,460	7,08
112,800	13,640	7,06
113,000	13,787	7,04
113,200	13,673	7,03
113,400	13,673	7,01
113,600	13,607	7,00
113,800	13,918	6,99
114,000	13,640	6,98
114,200	13,853	6,96
114,400	13,771	6,95
114,600	13,738	6,95
114,800	13,722	6,94
115,000	14,033	6,93
115,200	13,705	6,93
115,400	14,000	6,93
115,600	13,934	6,93
115,800	13,934	6,93
116,000	13,984	6,93
116,200	13,869	6,94
116,400	14,016	6,95
